英文名稱,中文名稱
accord parfait majeur {Fr.},大三和弦（絃）
accord parfait mineur {Fr.},小三和弦（絃）
accord parfait {Fr.},完全和弦（絃）
accord pivot {Fr.},共通和弦（絃）；樞紐和弦（絃）；中介和弦（絃）
accord renvers? {Fr.},轉位和弦（絃）
accord septi?me diminu?e {Fr.},減七和弦（絃）
accord tonique {Fr.},主和弦（絃）
accord {Fr.},和弦（絃）；調音
accordage {Fr.},調音
accordatura giusta {It.},純律
accordatura {It.},正確的調弦（絃）
accord?on {Fr.},手風琴
accordi di settima secondari {It.},副七和弦（絃）
accordion,手風琴
accordo alterato {It.},變化和弦（絃）
accordo aumentato {It.},增和弦
accordo comune alle due tonalit? {It.},共通和弦（絃）；樞紐和弦（絃）；中介和弦（絃）
accordo consonante {It.},協和和弦（絃）
accordo di dominante {It.},屬和弦（絃）
accordo di nona {It.},九和弦（絃）
accordo di quarta e sesta {It.},六四和弦（絃）
accordo di sesta aumentata {It.},增六和弦（絃）
accordo di sesta {It.},六和弦（絃）
accordo di settima di dominante {It.},屬七和弦（絃）
accordo di settima diminuita {It.},減七和弦（絃）
accordo di settima maggiore {It.},大七和弦（絃）
accordo di settima minore {It.},小七和弦（絃）
accordo di settima {It.},七和弦（絃）
accordo di tonica {It.},主和弦（絃）
accordo di tredicesima {It.},十三和弦（絃）
accordo di undicesima {It.},十一和弦（絃）
accordo imperfetto {It.},不完全和弦（絃）
accordo in dissonanze {It.},不協和和弦（絃）
accordo perfetto maggiore {It.},大三和弦（絃）
accordo perfetto minore {It.},小三和弦（絃）
accordo perfetto {It.},完全和弦（絃）
accordo rivoltato {It.},轉位和弦（絃）
accordo {It.},和弦（絃）
accrescendo {It.},漸強
accus? {Fr.},強調的；加重的
acetabule {Lat.},銅鈸｛羅馬｝
Achtel {Ger.},八分音符
Achtelnote {Ger.},八分音符
Achtelpause {Ger.},八分休止符
Achtelton {Ger.},八分音
achtz?hliger Takt {Ger.},八拍子
acoustic,音響的；音響學的
acoustic bass,聲響低音｛管風琴用法｝；低音提琴｛通俗音樂用法｝
acoustic guitar,音響吉他
acoustic physiology,音響生理學
acoustics,音響學；音響效果
Acoustik {Ger.},音響學
acoustique architecturale {Fr.},建築聲響學
acoustique musicale {Fr.},音樂音響學
acoustique {Fr.},音響學
act tune,間奏曲
action,擊弦（絃）系統｛鍵盤樂器｝；鍵鈕裝置｛管樂器｝；弦高｛吉他｝
active scale-step,動音級
active tone,動音
acustica musicale {It.},音樂音響學
acustica {It.},音響學
acute,後倚音
ad libitum {= ad lib.} {Lat.},自由的
adagietto {It.},稍慢板
adagio assai {It.},相當的慢板
adagio {It.},慢板
adagissimo {It.},極慢板
added free part,附加自由聲部
added line,加線
added sixth,加六和弦（絃）
added sixth chord,加六和弦（絃）
added time,合成拍子
additional accompaniment,附加伴奏
additional entry,附加導入
additional voice,附加聲部
additive rhythm,附加節奏
addolcendo {It.},溫柔的
addolorato {It.},悲傷的；痛心的
Adiaphone {Gr.},音叉琴
adiaphonon {Ger.},阿迪亞封農琴｛奧地利｝
adirato {It.},憤怒的；激怒的
adjuster,微調器
aeolian bells,風鈴
Aeolian bow,風鳴弓
aeolian harp,風鳴琴
aeolian mode,伊奧利安調式
aeolian pipe,風鳴笛
aeolian scale,伊奧利安音階
aeolopantalon,風鳴鋼琴
aeroforo {It.},風袋
Aerophon {Ger.},風袋；氣鳴樂器
aerophone,氣鳴樂器
aerophor,風袋
aesthetic categories,美的範疇
aesthetics of music,音樂美學
affabile {It.},和藹的；溫柔的
affaiblissant {Fr.},漸弱的
affannoso {It.},苦惱的；痛苦的；焦慮的；不安的
Affektenlehre {Ger.},情意說
affetti {It.},動人的；感性的；情意說
affetto{It.},情感；情緒
affettuoso {It.},深情的；富於情感的
affinales {Lat.},終止音
affinalis {Lat.},終止音
afflitto {It.},懊惱的；悲痛的
affrettando {It.},加快的；加緊的；急促的
affrettoso {It.},急迫的；匆促的
afinando {Sp.},調律法；音律
Afro-American music,非裔美人音樂
after beat,後拍音
after note,後倚音
after phrase,後句
agenda,儀式；儀式書
Agende {Ger.},儀式；儀式書
agevole {It.},輕快的；愉快的
aggiustamente {It.},嚴守節拍的
agiatamente {It.},輕鬆的；自在的
agiato {It.},輕鬆的；自在的
agilmente {Ger.},敏捷的
agitato {It.},激動的
Agnus Dei {Lat.},羔羊經
agogic accent,長強音
agogica {It.},彈性處理；速度法
agogics,彈性處理；速度法
Agogik {Ger.},彈性處理；速度法
agogique {Fr.},彈性處理；速度法
agogischer Akzent {Ger.},長強音
agr?ment {Fr.},裝飾音
?hnlich {Ger.},以下同；同樣的
Aida trumpet,阿依達小號
aigu ( ? ) {Fr.},尖銳的（指聲音）
air and variations,歌調變奏曲
air de cour {Fr.},反復歌
air de cour {Fr.},宮廷歌曲
air reed,氣簧
air vari? {Fr.},歌調變奏曲
air {Fr.},歌；歌曲；曲調
aire {Sp.},歌；歌曲；曲調
Ais {Ger.},升Ａ
aise {Fr.},舒適的；自在的
Aisis {Ger.},重升A
Akademie {Gr.},學會；學院；音樂會
Akklamation {Ger.},歡呼歌
Akkompagnement {Ger.},伴奏
Akkord {Ger.},和弦（絃）
Akkordbezeichnung {Ger.},和弦記號
Akkordeon {Ger.},手風琴
Akkordfolge {Ger.},和弦（絃）連接
Akkordfortschreitung {Ger.},和聲進行
Akkordgitarre {Ger.},和弦（絃）吉他
Akkordton {Ger.},和聲音
Akkordverbindung {Ger.},和弦（絃）連接
Akustik {Ger.},音響學
Akzent {Ger.},重音
Akzidens {Ger.},臨時記號；變化記號
Akzidentale {Ger.},臨時記號；變化記號
al aire {Sp.},挑弦（絃）法
al fine {It.},奏至結束記號處
al loco {It.},恢復原位（升高八度之後）
al piacere {It.},隨意的
al riverso {It.},逆行的
al roverscio imitation,逆模仿
al rovescio {It.},逆行的
al segno {It.},至記號
?l'?crevisse {Fr.},逆行
Alabado {Sp.},阿拉巴多｛聖歌｝
alal? {Sp.},阿拉拉｛民歌｝
?l?p {In.},阿拉普；散板導奏
?l?pana {In.},阿拉普；散板導奏
alba {Fr.},晨歌
Albert system,阿伯特系統｛單簧管｝
alberti bass,阿貝提低音
albisifono {It.},阿爾比西長笛
albisiphon,阿爾比西長笛
albisiphono {It.},阿爾比西長笛
alboka,阿爾波卡管
alborada {Sp.},晨歌
album,專輯；曲輯
album leaf,冊葉
Albumblatt {Ger.},冊葉
albumleaf,冊葉
Aleatorische Musik {Ger.},機遇音樂
aleatory music,機遇音樂
alegrias {Sp.},阿列格利亞舞曲
alexander organ,亞力山大風琴
Aliquot {Ger.},共鳴弦（絃）
Aliquot {Ger.},泛音
Aliquotfl?gel {Ger.},共鳴弦（絃）鋼琴
all'ottava {It.},高八度
alla breve {It.},二二拍子
alla francese {It.},法國風的
alla gitana {It.},吉普賽風的
alla marcia {It.},進行曲風的
alla mente {It.},即興的
alla polacca {It.},波蘭風的
alla riversa {It.},逆行的
alla russe {It.},俄國風的
alla spagnola {It.},西班牙風
alla tedesca {It.},德國風的
alla truca {It.},土耳其風的
alla zingara {It.},吉普賽風的
alla zingarese {It.},吉普賽風的
alla zoppa {It.},跛行節拍
alla {It.},如…的風格
allargando {It.},漸寬闊
alle {Ger.},全部
allegramente {It.},明朗快樂的
all?grement {Fr.},明朗快樂的
All?grement {Fr.},明朗快樂的
allegrettissimo {It.},最快板
allegretto {It.},稍快板
allegrezza {It.},歡欣的
allegrissimo {It.},極快的快板
allegro assai {It.},相當快的快板
allegro moderato {It.},中庸的快板
allegro {It.},快板
alleluia {Lat.},阿雷路亞；阿利路亞｛頌讚曲｝
allemande {Fr.},阿勒曼德舞曲｛德國舞曲｝
allemande {It.},阿勒曼德舞曲｛德國舞曲｝
allentamento {It.},慢慢的
allentando {It.},漸慢
alliteration,頭韻
allit?ration {Fr.},頭韻
allm?hlich {Ger.},逐漸的
allonger {Fr.},延長
alma {Sp.},音柱
alm?rie {Fr.},阿爾美利琴｛魯特琴｝
alpenhorn,阿爾卑斯號
alphabetic notation,字母譜
alphorn {Ger.},阿爾卑斯號
Alt {Ger.},中音｛音域｝；女低音；中音樂器
alta {It.},阿爾塔舞曲
alteratio {Lat.},變換音值
alteration,變化音
alt?ration {Fr.},變化音
Alteration {Ger.},變化音
alterazione {It.},變化音
altered chord,變化和弦（絃）
altered tone,變化音
alterierter Akkord,變化和弦（絃）
alternatim {Lat.},交替
alternation,交替
alternation of time,拍子交替
alternative,交替
alternative ending,擇一結束
alternative ending,二擇一結束
alternativement {Fr.},樂段交替
alternativo {Fr.},交替
alternativo {It.},交替
alternativo {It.},樂段交替
Alterschwerh?rigkeit {Ger.},老人性重聽
altezza assoluto {It.},絕對音高
Altfl?te {Ger.},中音長笛
Althorn{Ger.},中音號
altissimo {It.},很高
Altklarinette {Ger.},中音單簧管
alto,中音｛音域｝；女低音；中音樂器；中提琴｛法｝
alto chiave {It.},中音譜號
alto clarinet,中音單簧管
alto cl? {Fr.},中音譜號
alto clef,中音譜號
alto fagotto {It.},中低音管
alto flute,中音長笛
alto guitar,高音吉他
alto horn,中音號
alto sax,中音薩氏管
alto saxhorn,中音薩氏號
alto saxophone,中音薩氏管
alto trombone,中音長號
alto {Fr.},中提琴
Altobasso {It.},阿爾多巴索琴
Altposaune {Ger.},中音長號
altra volta {It.},再奏(唱)一次
Altr?mischer Choral {Ger.},古羅馬聖歌
Altschl?ssel {Ger.},中音譜號
altus {Lat.},聲部名稱
alzamento di voce {It.},聲音提高
am Frosch {Ger.},近弓根奏
am Griffbrett {Ger.},近指板奏
am Steg {Ger.},近琴橋奏；近琴馬奏
Am {Ger.},靠近
amabile {It.},甜美的；可愛的
amarevole {It.},痛苦的；悲痛的
amarezza {It.},悲哀的；哀傷的
ambiguous chord,曖昧和弦（絃）
ambitus {Lat.},音域
Amboss {Ger.},鐵砧｛擊樂｝
ambrosian chant,安布羅斯聖歌
Ambrosian hymn,安布羅斯讚歌
ambrosian modes,安布羅斯調式
Ambrosianischer Gesang {Ger.},安布羅斯聖歌
Ambrosianischer Lobgesang {Ger.},安布羅斯讚歌
ambrosiano canto {It.},安布羅斯聖歌
?me {Fr.},音柱
amen cadence,阿們終止
Amen {Heb.},阿們
amener {Fr.},阿摩內舞曲
american organ,美式風琴
Amerikanische Orgel {Ger.},美式風琴
amore {It.},愛
amorevole {It.},可愛的
amorevole {It.},多情的；柔情的
amoroso {It.},深情的
Amorschall {Ger.},阿默夏爾號｛德｝
amplifer,擴大機
amplitude,振幅
anacrouse {Fr.},弱起拍
anacrusi {It.},弱起拍
analisi {It.},樂曲分析
analogue,類比
analyse,樂曲分析
analyse {Fr.},樂曲分析
Analyse {Ger.},樂曲分析
analysis of composition,樂曲分析
?nandalahar?,阿蘭達拉哈利琴
?nandalahar? {In.},桶琴
anche ? ruban{Fr.},帶簧
anche battante {Fr.},敲擊簧
anche double {Fr.},雙簧
anche libre {It.},活簧
anche {Fr.},簧
ancia battente {It.},敲擊簧
ancia doppia {It.},雙簧
ancia libera {It.},活簧
ancia {It.},簧
ancient suite,古組曲
ancora {It.},再一次
and?chtig {Ger.},虔敬的
andamento {It.},長主題(復格)
andante cantabile {It.},如歌的行板
andante moderato {It.},中庸的行板
andante {It.},行板
andantino {It.},小行板
anechoic chamber,無響室
anemochord,氣鳴鋼琴
an?mochorde {Fr.},氣鳴鋼琴
an?mocorde {Fr.},風鳴鋼琴
anenaiki {Rus.},阿內納基唱法
Angabe in Metronom M?lzel {Ger.},節拍器記號
angel lute,安傑利卡（天使魯特琴）
angelica {It.},安傑利卡（天使魯特琴）
angelical salutation,天使致敬
Angelika {Ger.},安傑利卡（天使魯特琴）
ang?lique {Fr.},安傑利卡（天使魯特琴）
angelito,天使歌（兒童葬歌）
angewandte Form {Ger.},應用曲式
angklung,搖竹(印尼樂器)
anglaise {Fr.},安格雷舞曲｛英國舞曲｝
anglican chant,英格蘭聖歌
angosciosamente {It.},痛苦的；煩悶的
angoscioso {It.},痛苦；煩悶
?ngstlich {Ger.},焦慮的；膽怯的
angular harp,直立式豎琴
anhemitonic {Gr.},無半音的
anima {It.},音柱
animando {It.},逐漸活躍的
animato {It.},生氣蓬勃的；精神煥發的
anklung,搖竹（印尼樂器）
anmutig {Ger.},優雅的；溫柔的；甜美動聽的
anonimo {It.},無名氏
Anonym {Ger.},無名氏
anonyme {Fr.},無名氏
anonymous,無名氏
anreissen {Ger.},用力的撥奏
Ansatz {Ger.},吹口；嘴型變化；起音
Ansatzrohr {Ger.},共鳴腔
Anschlag {Ger.},雙倚音（音樂學）；觸鍵（鍵盤樂器）；起奏（管、絃樂）；擊法（擊樂）
anschwellend {Ger.},漸強
Anstrich {Ger.},上弓
answer,答句
answer by augmentation,增值答句
answer by diminution,減值答句
answer by inversion,反向答句
antara {Sp.},安達拉簫｛秘魯排簫｝
antecedente phrase,前分句
antecedente {It.},前分句
anthem,頌歌
anthesis,應句
anthony,對唱曲；疊句｛聖詩吟誦｝
anticipation,先現音
anticipation {Fr.},先現音
anticipazione {It.},先現音
antico,古代風格
antienne {Fr.},對唱曲；疊句｛聖詩吟誦｝
antifona {It.},對唱聖歌集
antifonario {It.},對唱聖歌集
Antike Zimbeln {Ger.},古鐃鈸
Antilopenhorn {Ger.},軍號角｛北德｝
antiphon,對唱曲；疊句｛聖詩吟誦｝
antiphona Beatae Mariae {Lat.},瑪莉亞讚美歌
antiphona {Lat.},對唱聖歌集
antiphonal psalmody,對唱聖歌
antiphonal singing,對唱
antiphonal {Lat.},對唱聖歌集
antiphonale {Lat.},對唱聖歌集
antiphonary {Eng.},對唱聖歌集
antiphonel {Fr.},自動樂器
antiphoner,對唱聖歌集
antiphonia {Gr.},八度音
antiphonia {Lat.},八度音
Antique cymbals,古鐃鈸
antithesis and thesis,應句與起句
Antizipation {Ger.},先現音
Antwort {Ger.},答句
anvil,鐵砧｛擊樂｝
anwachsend {Ger.},漸強
?olisch {Ger.},伊奧利安調式
?olische {Ger.},伊奧利安調式
?olsharfe {Ger.},風鳴琴
Aosta codex {Lat.},奧斯塔抄本
aperto {It.},開放
Apfelregal {Ger.},蘋果狀風琴管
apollinisch {Ger.},阿波羅的
Apollonicon,阿波羅自動管風琴
apotome {Gr.},大半音
apoyando {Sp.},壓弦（絃）奏法
apoyatura {Sp.},倚音
apparent movement,假現運動
appassionata {It.},熱情
appassionato {It.},熱情的
appenato {It.},悲切的
applied form,應用曲式學
Applikatur {Ger.},指法
appoggiando {It.},支持的；圓滑的；連貫的；延音
appoggiatura,倚音
appoggiatura chord,倚音和弦（絃）
appoggiatura doppia {It.},雙倚音
appoggiatura lunga {It.},長倚音
appoggiatura {It.},倚音
appogiature double {Fr.},雙倚音
appogiature longue {Fr.},長倚音
appogiature {Fr.},倚音
appuy {Fr.},倚音
appuy? {Fr.},強調的；加重的
appuyer {Fr.},著重；加強
Apt Codex {Fr.},阿普特抄本
?qual {Ger.},相等
aquarelle {Fr.},小曲；小品
?quatre mains {Fr.},四手聯彈
Arabeske {Ger.},阿拉伯風
Arabesque {Fr.},阿拉伯風
Arabisches Komma {Ger.},阿拉伯音差
Arada drums,阿拉達鼓｛海地排鼓｝
arada {Sp.},阿拉達鼓｛海地排鼓｝
aragonaise {Fr.},阿拉岡舞曲
aragonesa {Sp.},阿拉岡舞曲
araine {Fr.},青銅號
arc musical {Fr.},弓琴；樂器弓
arc sonore {Fr.},弓琴；樂器弓
Arc-en-terre {Fr.},地弓琴
arcata in gi? {It.},上弓
arcata in su {It.},下弓
arcata {It.},運弓；弓法
arcato {It.},用弓奏
arch form,拱形曲式
archcittern,大魯特琴
arched harp,弓形豎琴
Arched top,拱形面板
archet {Fr.},弓
architectural acoustics,建築聲響學
archlute {Fr.},長頸魯特琴
arcicembalo {It.},古鍵盤樂器
arciliuto {It.},長頸魯特琴
arciorgano {It.},古鍵盤樂器
arco,用弓奏
arco in gi? {It.},下弓
arco in su {It.},上弓
arco {It.},用弓奏
ardente {It.},熱情的
Ardin,阿爾丁琴｛西非｝
arditamente {It.},大膽的；放情的
ardito {It.},有活力的
ardore {It.},熱烈；熱情
Areito {Sp.},阿瑞多舞｛西印度群島｝
Argentine accordion,阿根廷手風琴
Argh?l {Ar.},阿古管
aria,詠唱調
aria d’imitazione {It.},模仿詠唱調
aria {It.},詠唱調
Arie {Ger.},詠唱調
arietta {It.},小詠唱調
arioso {It.},似詠唱調
arlecchino {It.},丑角
arlequin {Fr.},丑角
armatura {It.},調號
armature {Fr.},調號
armonia {It.},和聲；和聲學
armonica a bocca {It.},口琴
armonica a manticino {It.},手風琴
armonica {It.},玻璃琴
arm?nicos {Sp.},泛音
armonie essenziali {It.},基礎和聲
armonioso {It.},和諧的；協和的
armonium {It.},簧風琴
aros {Sp.},側面板
arpa cromatica {It.},半音豎琴
arpa d'Eolo {It.},風鳴琴
arpa doppia {It.},雙列弦豎琴
arpa eolia {It.},風鳴琴
arpa {It.},豎琴
arpa {Sp.},豎琴
arpanetta {It.},阿帕內塔琴
arp?ge {Fr.},琶音
arpeggio {It.},琶音
arpeggione {It.},琶音琴
arpegio {Sp.},琶音
arpicordo {It.},阿比柯多琴
arpitarrone {It.},阿比塔隆琴
arrach? {Fr.},強力撥奏
arrangement,編曲
arrescu {Sp.},阿雷斯固舞曲
ars antiqua {Lat.},古藝術
ars nova {Lat.},新藝術
Ars Subtilior {Lat.},纖細藝術
art song,藝術歌曲
articolato {It.},清晰的；明確的
articolazione {It.},運音法；演奏（唱）技法
articulation,運音法；演奏（唱）技法
artificial harmonics,人工泛音
artificial mode,人為調式；人工調式
artificial note,人為音；人工音
artig {Ger.},溫雅的；高尚的
Artikulation {Ger.},運音法；演奏（唱）技法
artistic creation,藝術創作
As {Ger.},降A
Asas {Ger.},重降A音
ascending,上行
Ases {Ger.},重降A音｛德｝
asor {Heb.},阿索爾琴｛猶太古琴｝
aspiration {Fr.},間斷音｛後倚音的一種｝
assai {It.},很；相當的
assez {Fr.},很；相當的
Assumpta est Maria {Lat.},聖母昇天彌撒曲
?sthetische Kategorien {Ger.},美的範疇
?sthetischer Wert {Ger.},美的價值
at first sight,初次視奏；初次視唱
atabal {Sp.},阿他巴鼓
atabaque {Br.},阿他巴克鼓
Atem {Ger.},呼吸；氣息
Atempause {Ger.},呼吸間歇；呼吸記號；分句號
Atemzeichen {Ger.},呼吸記號
Atmung {Ger.},呼吸；氣息；呼吸法
atonal music,無調性音樂；非調性音樂
atonalism,無調性主義；非調性主義
atonalismo {It.},無調性主義；非調性主義
atonalit? {It.},無調性；非調性
Atonalit?t {Ger.},無調性；非調性
atonalit? {Fr.},無調性；非調性
atonality,無調性；非調性
attacca subito {It.},緊接下一段
attacca {It.},緊接下一段
attacco {It.},短主題｛複格}
attack,起音
Attack {Ger.},起音
au talon {Fr.},近弓根奏
aubade {Fr.},晨間音樂；晨歌
aube {Fr.},晨歌
audibility limits,聽覺極限
audiogram,聽力圖
audiometer,測聽器
audiom?trie {Fr.},聽力檢查
audiometry,聽力檢查
audition,試聽；聽力；面試
audition color?e {Fr.},色彩聽覺
auditory area,聽域
Auditory fatigue,聽覺疲勞
auditory volume,音寬度；音粗度
audizione a colori {It.},色彩聽覺
Auferstehung Symphonie {Ger.},復活交響曲
Auff?hrung {Ger.},演奏｛唱｝；演出
aufgeregt {Ger.},興奮的；激動的
Aufgeweckt {Ger.},生動的；活潑的
Aufhalten {Ger.},抑制
Aufl?sung {Ger.},解決
Aufl?sungszeichen {Ger.},本位記號；還原記號
Aufnahmeapparat {Ger.},收錄器材
Aufschlagzunge {Ger.},敲擊簧
Aufstellung {Ger.},呈示部
Aufstrich {Ger.},上弓
Auftakt {Ger.},弱起拍
auftaktige Bildung {Ger.},弱起
Auftaktigkeit {Ger.},弱起
Auftritt {Ger.},場；景 （戲劇）
aufw?rtsf?hrender Leitton {Ger.},上行導音
Augenmusik {Ger.},視覺音樂
augmental interval,增音程
augmentation,增值
augmented chord,增和弦（絃）
augmented fifth,增五度
augmented fourth,增四度
augmented prime,增一度
augmented second,增二度
augmented seventh,增七度
augmented sixth,增六度
augmented third,增三度
augmented triad,增三和弦（絃）
aulos,奧洛斯管
aumentazione {It.},增值
aura {Lat.},奧拉琴
aurresku {Sp.},奧雷斯固舞曲
Ausdruck {Ger.},表情
ausdrucksvoll {Ger.},富有表情的
Ausf?llgeiger {Ger.},總奏的小提琴手
ausgelassen {Ger.},洋溢的；奔放的
aushalten {Ger.},保持
Aussenstimme {Ger.},外聲部
?usseres Ohr {Ger.},外耳
?usserestimme {Ger.},外聲部
Aussprache {Ger.},發音
Ausweichung {Ger.},臨時轉調
Auswendigspielen {Ger.},背譜演出
Auszug {Ger.},編曲
authentic cadence,正格終止
authentic half cadence,正格半終止
authentic mode,正格調式
authentic source,原始資料
authentic Tonart {Ger.},正格調式
authenticity,真實性
authentische Quelle {Ger.},原始資料
authentischer Modus {Ger.},正格調式
authentischer Schluss {Ger.},正格終止
authentizit?t {Ger.},真實性
auto {Sp.},聖餐劇
autografo {It.},親筆簽名
autograph,親筆簽名
Autograph {Ger.},親筆簽名
autoharp,自動豎琴
automatophone,自動樂器
automelon,他旋律｛拜占庭聖歌｝
autonome Musik {Ger.},自律音樂
Autonomous music,自律音樂
autopiano {It.},自動鋼琴
auxiliary chord,輔助和弦
auxiliary note,助音
auxiliary sixth-four chord,輔助的六四和弦（絃）
auxiliary tone,助音
avant-garde jazz {Fr.},前衛爵士樂
avant-garde {Fr.},前衛
?v?z,阿瓦茲｛伊朗調式｝
ave maria {Lat.},聖母頌
Ave maris stella {Lat.},聖母之星
ave regina caelorum {Lat.},萬福天后
ave verum corpus {Lat.},聖體頌
avec les cordes relach?es {Fr.},放鬆響弦（絃）｛小鼓｝
avec sourdine {Fr.},加弱音器
avec {Fr.},與
ay-bo-le {Sp.},愛波雷舞曲
?yotl,龜甲｛體鳴樂器｝
ayre,歌；歌曲；曲調
"az?n, adh?n {Ar.}",阿讚｛阿拉伯｝
B sharp,升Ｂ（音）
B-A-C-H {Ger.},巴赫音名
Babor?k {Cz.},巴波拉克舞曲
baby grand piano,小平臺鋼琴
bacchanale {Fr.},酒神祭舞
bacchetta {It.},鼓槌；木棒；指揮棒；琴棒
Bach Gesellschaft {Ger.},巴赫協會
Bach trumpet,巴赫小號
Bach Werke-Verzeichnis (BWV) {Ger.},巴赫作品編號
back,背板
badinage {Fr.},詼諧風舞曲
badine,詼諧風舞曲
badinerie {Fr.},詼諧風舞曲
bagana,貝干納琴
baganna,貝干納琴
bagatelle {Fr.},小品；小曲
Bagatelle {Ger.},小品；小曲
baglama {Tur.},巴拉瑪琴
bagpipe,風笛
baguala {Sp.},巴瓜拉舞曲
baguette {Fr.},鼓槌；木棒；指揮棒；琴棒
bai?o {Por.},巴悠｛舞曲｝
baile de palos {Sp.},鼓之舞
baile flamenco {Sp.},弗拉門哥舞蹈
bailecito {Sp.},拜列西多舞曲
bajo cifrado {Sp.},持續低音；數字低音
balafo,木琴｛西非｝
balafon,木琴｛西非｝
balalaika,巴拉萊卡琴
balancement {Fr.},抖音｛古鋼琴｝
Balg {Ger.},送風裝置｛管風琴｝
Balken {Ger.},連線
ballad,敘事曲
ballad horn,巴拉德號
ballad opera,敘事歌劇
